détails,état,marque,adresse,prix,image_lien
Acer Nitro 5 Corei7 9th Nvidia 4go Dédié,Venant,Acer,"Gueule-Tapée, Dakar",270000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c4cd41114543ab3e383156da5c0403bc/-/horizon-files-prod/ed/picture/qq4zwxdz/a75af94a773605aba47513e726d58648a4cc3eaa.jpg
Refroidisseur ordinateur portable,Neuf,HP,"Dieuppeul, Dakar",8000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ab0886bae732fa2709188cebf22812d8/-/horizon-files-prod/ed/picture/qkrme4p8/9e3cf5a279056f4855a90cc77fcae74d4f346da6.jpg
câble rj45 internet original,Neuf,Dell,"Dieuppeul, Dakar",2500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a50ab776a792673b7d5c5a6f119db489/-/horizon-files-prod/ed/picture/q6xkdk0j/99f320280561bfb651a6dd614a63d11f12dd517b.jpg
HP 840 G8 i5 8th ram 16,Venant,HP,"Médina, Dakar",200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dbb917284a9901293ad5a3a815a0ac43/-/horizon-files-prod/ed/picture/qzv8vv7d/29e0791be9a71bee0dd33bd8d6ec6db6bd1084a7.jpg
hp probook 4430s i5 ram 8,Venant,HP,"Médina, Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/74757ecb08132c5bb2d1e75ed33b74e8/-/horizon-files-prod/ed/picture/qxj8wdqq/1bfe361f49a8c6c83445758a31a1154e0ef15712.jpg
HP Envy 15 X360 - I7 12e Génération | 16GB RAM | 512GB SSD,Venant,HP,"Point-e, Dakar",350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8a8e12d0d6329544eb308a77f5d22d9/-/horizon-files-prod/ed/picture/qkr76dem/b7398bd11359a52f62e1fc6c5d9d6c4af23f52af.jpg
MacBook Pro M1 2020 512GB,Venant,Apple,"Plateau, Dakar",385000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/983532f845c6d9941e38af3b972a8f7b/-/horizon-files-prod/ed/picture/qng90kqg/6b579e6b6acf7d57a56ddeac8da6cda0530b4d6d.jpg
HP EliteBook 840 G8 - I5 11th | 16GB RAM | 256,Venant,HP,"Point-e, Dakar",300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1dce58f1e71868ae45cb21d969d5582/-/horizon-files-prod/ed/picture/qm50vkkj/146f5e18186af92d1b6be527db932ab931ccacd9.jpg
Switch Ubiquiti USW-24-Poe (Neuf),Neuf,Autre,"Avenue Bourguiba, Dakar",330000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/056ce4a9de79d94d22184585810d891b/-/horizon-files-prod/ed/picture/q4450rjp/31807ff64dfdabd61d31386858d873ecd80d0e46.jpg
IMAC i5/i7 21’/27,Neuf,Apple,"Gueule-Tapée, Dakar",180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/71ce5fc568bae401447e87c3fd2679c1/-/horizon-files-prod/ed/picture/migrated/qvdx9qm/d3f195d43ed8a14d0af19e8cb8e565e78a8c6bfd.jpg
Microsoft Surface pro/laptop / book,Venant,Microsoft Surface,"Gueule-Tapée, Dakar",145000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b490a11c89176296f9359784d0c7382c/-/horizon-files-prod/ed/picture/q96mvm5/34f002c68faac1604a3b04248059870bb56cf6a9.jpg
Macbook pro retina Corei5 /i7,Venant,Apple,"Gibraltar, Dakar",175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5382b7180d4c6f1ad51ec68297769c41/-/horizon-files-prod/ed/picture/q94jp00/38a4d72a81da7e29b171591dba925e147cc81686.jpg
DELL microtours i5/i7 6e-12e gen,Neuf,Dell,"Gibraltar, Dakar",90000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7ef7af14f16e618d96730a57a1046fdd/-/horizon-files-prod/ed/picture/q6044zv/50ea70c914069bf20cc71981e9e438a73df6eb0f.jpg
🔥 PC GAMING ULTIME - BÊTE DE GUERRE SUR MESURE,Neuf,Autre,"Gibraltar, Dakar",450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c50a9a35ed1e1ef5726efe3c74af5a3e/-/horizon-files-prod/ed/picture/q44nwz4r/e882341b7406e9ccc87b3203afd40b8a99bd7655.jpg
DELL G5 GAMEUR Corei7 8th RTX 2060 !!!,Venant,Dell,"Gibraltar, Dakar",325000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e83e4823df10814a53634a1fde798c62/-/horizon-files-prod/ed/picture/qj464gz8/67c83115ad3eb806af3faaff68fdfa452d044b05.jpg
"Microsoft Surface Pro 11e édition 13"" Snapdragon x Elite",Neuf,Microsoft Surface,"Point-e, Dakar",950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d0b242b0fef83e1595690898863b195c/-/horizon-files-prod/ed/picture/qv4w00g2/6f1d1655b7bd3336f74a34d28ed3211d59ac14cd.jpg
Surface Laptop 7 Copilot+ -Snapdragon X|16GB RAM|1 Téra,Neuf,Microsoft Surface,"Point-e, Dakar",650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d80386db858aca68066eff7ec661fe19/-/horizon-files-prod/ed/picture/qxjprnzj/bfced4c4e8114b9856a167769b88b408503b78b4.jpg
"MacBook Pro M3 14"" 2023 8GB/512GB",Neuf,Apple,"Point-e, Dakar",770000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b230ab52cd60d98ab65ddcade2edca32/-/horizon-files-prod/ed/picture/qngp6z7e/cb6ccb47252755b246d749e3ad9d20ff05d2c6e2.jpg
MSI Modern 15H - I9 13e Génération | 32GB RAM | 1 Téra,Venant,MSI,"Point-e, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f523b7f5f86cf47062cd7a47a776c2c/-/horizon-files-prod/ed/picture/qzv8r428/4189e038ccccb0cf20b9d6f425391925b045272a.jpg
Dell Latitude 7420 - I5 11th | 16GB RAM | 256,Venant,Dell,"Point-e, Dakar",220000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/81523729dd5cce011184b336de2559ce/-/horizon-files-prod/ed/picture/qng99qzz/aeff617e33f46190fd128cb29aa8b2b70334c362.jpg
HP ZBook 15 G5 - I7 8e Génération | 16GB RAM | 256GB SSD,Venant,HP,"Point-e, Dakar",260000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/936e850f680aaac78e728d537d7638f1/-/horizon-files-prod/ed/picture/qwern9w5/cd82ea86c7aca368a46ae8cc1d28df4bcbb17333.jpg
ASUS ROG ZEPHYRUS M16 I7 12TH,Neuf,ASUS,"Yoff, Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b91e4c5af48dfa3a126e09d5068fc91b/-/horizon-files-prod/ed/picture/qzvpndrq/5518e893f8d9b58764164ba718f2728999ef7016.jpg
MacBook Air m2 8/256,Venant,Apple,"Yoff, Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/77b212a046a8120cff2e53f32307f1b8/-/horizon-files-prod/ed/picture/q2jkqrx8/ee0892cd9dd19ea1cf49be636d9665f121596de3.jpg
Elitebook860 G11 ultra5,Neuf,HP,"Yoff, Dakar",650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ed01ae8076de889941958d1d6b92f6fd/-/horizon-files-prod/ed/picture/qxj8jnzv/008a9f93d8ae3deed49e802b5a0d67f56b293af0.jpg
MSI I7 RTX 4050 16/512,Venant,MSI,"Yoff, Dakar",700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/27d36dfc1ed7e2f28761b383e228b714/-/horizon-files-prod/ed/picture/qde9kqj7/cefd8a1f276dbab78ddb4f61e6a48321203e578c.jpg
Surface pro11th 32/1tera,Neuf,Microsoft Surface,"Yoff, Dakar",950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e7e49179d0dbe8864a80ec9eefca483b/-/horizon-files-prod/ed/picture/qde9dn07/c1121f0c303c6736b4089ff91b0ad89eb408eff6.jpg
