détails,état,marque,adresse,prix,image_lien
MacBook Pro M1 Ram 16Go SSD 512Go,Neuf,Apple,"Gueule-Tapée, Dakar",499000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/657e76f60ef953791fd7d2e4be78eecb/-/horizon-files-prod/ed/picture/qzv8zvdk/0913efa3a9dd58959836da4c0e0c3006d0544dc1.jpg
MacBook Air M4 (2025) SSD 512Go Ram 24Go,Neuf,Apple,"Gueule-Tapée, Dakar",899000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e24062fc8ba30e5a86f930bcae88b2cf/-/horizon-files-prod/ed/picture/q78jx7rg/5bf7c2ab51abd59974ed6d614714cd5252201e0e.jpg
Surface Studio 2+,Neuf,Microsoft Surface,"Fass, Dakar",3499000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c9f49804e24ea3254509c9ffbaa87ff1/-/horizon-files-prod/ed/picture/qenq4nx4/d7223d4341d415432efac80177c8a842e98a6f4a.jpg
MacBook Pro 14 pouces M4 16GB SSD 512,Neuf,Apple,"Fass, Dakar",1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30310647c115cf2f681e4ae75e9ee0ba/-/horizon-files-prod/ed/picture/qxj8dr6q/390d95fc9131194a553ed7b826f15288407a7d37.jpg
Dell 7330 douzième i7,Venant,Dell,"Médina, Dakar",320000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a3f14d5c93e581fbdb04c53ea049908/-/horizon-files-prod/ed/picture/q8v4j0p4/997c01aa1e7f13f1e0519ba29e745223d9cd86f2.jpg
MacBook Pro i9,Venant,Apple,"Médina, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a1b181b3b53f076869b12df2ed68781d/-/horizon-files-prod/ed/picture/q0g7er5w/567adeee00eca76f1f7cc6ff6738009198673431.jpg
Msi GS66' RTX 3060,Neuf,MSI,"Sicap Sacré-cœur, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b736ea0de66acb5743851ab5843c9dc/-/horizon-files-prod/ed/picture/qm50v48m/43991f72285dd46697b4a496abe6b05e7cc799ce.jpg
Lenovo Yoga Book 9,Neuf,Lenovo,"Hlm, Dakar",1225000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f163bb142705df8c0f34881e80e415da/-/horizon-files-prod/ed/picture/q78jxmkm/1f09369488f1f0a57bd66c3943689dcc206d19e4.jpg
Lenovo Thinkpad T14s,Venant,Lenovo,"Plateau, Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2548ec703c6aee613a6b0207e66f88a3/-/horizon-files-prod/ed/picture/q445rmvr/6a15433086197ee39bcb3b78bf5ca2d31d4beb85.jpg
"hp probook 440 G2, tactile i5 ram 8",Venant,HP,"Médina, Dakar",120000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ac7ff13fab2a4317674ac1547eb8570/-/horizon-files-prod/ed/picture/qq4zwqgz/2a61a2edd9c856fc6c0522c683e8f609ff41d5b8.jpg
HP ELITEDESK 800G3 MINI / i5 7ieme GENERATION,Venant,HP,"Médina, Dakar",90000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0fd928264d18dceb7ff8511c0ab001c3/-/horizon-files-prod/ed/picture/qq42j0rj/180f3d784b936858746f8093f6b6f445eb19d31f.png
IMAC SLIM 2017,Venant,Apple,"Médina, Dakar",200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b15e2421665db0c5e92dc0a7d987749c/-/horizon-files-prod/ed/picture/q56xq88e/06f3f9d933e977ad1c5a595f4041c7e773526834.png
HP PRODESK CORE i5,Venant,HP,"Médina, Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa208cecc6e59981834da003e1472ccd/-/horizon-files-prod/ed/picture/q564ddzn/4bc46c98d038815302e2bf92ea3458f886089838.jpg
MacBook 16 i7 2019,Venant,Apple,"Médina, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/640b2177f05975b38db87510a53ee8eb/-/horizon-files-prod/ed/picture/q0gkk55x/ee9573a3e44ca2c78d74f6030891c9e38ff2aca4.jpg
Samsung galaxybook pro,Venant,Samsung,"Médina, Dakar",285000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/31e10270e90a48f3755423d472fb1fcd/-/horizon-files-prod/ed/picture/qm500ggr/6f8a1137ab5d83c13b548f071ba2ea50a331e1f1.jpg
Lenovo t14 i7 16/512,Venant,Lenovo,"Médina, Dakar",240000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/46ab1cbc30a8e39a6505e9eeceb842c8/-/horizon-files-prod/ed/picture/qq4zw4j4/06aa2a4d767454770c3c67a4276cdc845c2f9b41.jpg
HP Zbook 14 G7,Venant,HP,"Plateau, Dakar",300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/97e6dcae9f761b8ad88330033f496e04/-/horizon-files-prod/ed/picture/q56pr58p/3afc6567f8f5a95c2f6f3e7e5cffbd0ab050680b.jpg
HP ZBook Firefly 14 G7,Venant,HP,"Plateau, Dakar",280000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/111632c87f389655ccfa512c9bc93b14/-/horizon-files-prod/ed/picture/qrzr6059/84f158b208afc5769e4a5165a48445243ca72705.jpg
Lenovo yoga,Neuf,Lenovo,"Plateau, Dakar",115000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/504b81035b7c523028f436cb1d101d43/-/horizon-files-prod/ed/picture/qng90z2k/207db14647c77c6455f7fa123cd39b9ce35b8dd4.jpg
Lenovo L460 i5 ram 8,Venant,Lenovo,"Médina, Dakar",110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5c9a464be0f837b6df79fe7e00cc722d/-/horizon-files-prod/ed/picture/q44875k4/0b265f6f7bd28c38c0063e8f97f4e7e9879e790e.jpg
Hp ZBook 14 G7,Neuf,HP,"Plateau, Dakar",280000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e8ef17989351358e9fb6dc894bab899c/-/horizon-files-prod/ed/picture/qrzr605n/0e568ea7878e8f1c2e49e35f3c001a0d0d5f4ab3.jpg
Hp EliteBook 830 g7 i7,Venant,HP,"Sicap Liberté, Dakar",160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/57a8226175c2081647287234ed8066a4/-/horizon-files-prod/ed/picture/qkr84e5j/7b1617851a416d4fa5b5f4d5b3d5716b77bd5eb8.jpg
XPS 9440 RTX 4050,Neuf,Dell,"Yoff, Dakar",1250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/43ca37c244d3a98fe9df4c361afbab92/-/horizon-files-prod/ed/picture/q0gkp98d/0407e82501f155c93a6cab9af9e1cbfcbb055757.jpg
16POUCE M2PRO 16/1TERA,Neuf,Apple,"Yoff, Dakar",1050000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70a6c3d12d54df8667cd2dfc7520ef0b/-/horizon-files-prod/ed/picture/q0gkndww/49a211d407565bf4eb6ea698c8ff59ea14685ef8.jpg
16-POUCE 2019 I9,Venant,Apple,"Yoff, Dakar",525000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45064bef9086a01a54e77a6d1068a09c/-/horizon-files-prod/ed/picture/qngprqnr/429a30a0d4a40be0831817c8e2c7693cc95591ef.jpg
Hp elitebook 840 i7,Venant,HP,"Plateau, Dakar",180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fed0418063f750011202974c71f0913c/-/horizon-files-prod/ed/picture/qkr76q02/fac168e15f023e99b285c839ed991606b3f8c4d3.jpg
M1 Pro Max (2021),Venant,Apple,"Médina, Dakar",725000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/67501c4490c188cb0747a1a63d14ce84/-/horizon-files-prod/ed/picture/qpdgn8rm/5985fd997d1d739fb035f5b080970a5efe21d531.jpg
HP All-in-One 24 pouce,Neuf,HP,"Médina, Dakar",540000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dc3f438a65f9e8ce0d7819952630db3/-/horizon-files-prod/ed/picture/q445jedm/0873803018a77002b2313468b1d8d0ffe39643c2.jpg
Dell XPS 9720 cor i9 de 12th Gen,Neuf,Dell,"Médina, Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3606cc2f3cc4bd0ed2156299e023b8c8/-/horizon-files-prod/ed/picture/qrzrngk5/ed4d4ef6eb689974569a41181dbd08f2bbba4e71.jpg
MacBook Pro M1 Pro 16'',Venant,Apple,"Point-e, Dakar",800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8776ec626b6e669f89adcb58405c1a27/-/horizon-files-prod/ed/picture/qxjp07nn/74e9db47dc88403b1f218cd8f787ba21dabde865.jpg
Dell precision 5520 4Go graphique,Venant,Dell,"Yoff, Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72d3ba6351937296f060198f1ee4e37e/-/horizon-files-prod/ed/picture/qq4zwv97/5f8477b38dfcd667e51ff10407216fa04e2286a6.jpg
ORDINATEUR ALL IN ONE INSPIRON 5410 (GARANTIE 1 AN 💯 ),Neuf,Dell,"Plateau, Dakar",802400,https://i.roamcdn.net/hz/ed/listing-thumb-224w/58f6caec6e62f506ddd5f8cc0aecfafe/-/horizon-files-prod/ed/picture/q9mkjvw8/9c1321297c6b258e298f532f7791d4b01fd3d40d.jpg
ORDINATEUR DELL XPS 13U ENG 4th Gen (NEUF & GARANTIE 1 AN 💯),Neuf,Dell,"Plateau, Dakar",1060820,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b36314292c31b436e1a3c667fecd5221/-/horizon-files-prod/ed/picture/q445nmr9/b0e1c1cc34939f552615ac2986647391917afe7c.jpg
"ORDINATEUR DELL INSPIRON 16, 5630 Neuf (GARANTIE 1 AN✅️)",Neuf,Dell,"Plateau, Dakar",672600,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c881c14d37687cb0e2198fb0b7b1170/-/horizon-files-prod/ed/picture/q9mkj25p/988a3b6f9d5a8a2f35b7731d13ff226ea1dc56d6.jpg
HP PRODESK | CORE i5,Venant,HP,"Médina, Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa6350b5fcfc95da783035fb56f7c908/-/horizon-files-prod/ed/picture/qv44n0vg/3ad97f636e99e82f743b9d5959c4701dc2ffd46a.jpg
𝗛𝗣 𝗣𝗥𝗢𝗕𝗢𝗢𝗞 𝟰𝟱𝟬 𝗚𝟱 | 𝗶𝟱 | 𝟴 𝗚𝗲𝗻,Venant,HP,"Médina, Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63b02f892daea1234884f11689910904/-/horizon-files-prod/ed/picture/q2j0xxkk/34b789ca7b417d3ee24e49607df8ccdbf77f39b8.jpg
Mac Book Pro Touch Bar 2020 Core i7 ssd 512 Gb Ram 16 Gb,Venant,Apple,"Cambérène, Dakar",375000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b353206e95d56ce3c7f3cce57ca5886/-/horizon-files-prod/ed/picture/qrzrvnxg/4532814f3480fa17996c2b5eb9a0445718042777.jpg
New Dell Premium 14 Pro Ultra 7 (2025),Neuf,Dell,"Cambérène, Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7707b0ac1808f700f59a761bc14f42e/-/horizon-files-prod/ed/picture/q9mk05mw/a629e0b15d5e04b427e4dbba4b2cd10d290d15db.png
Asus Rog Strix Ultra 9 RTX 5080 de 16 Gb dédié (2025),Neuf,ASUS,"Cambérène, Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fb04e80ba431fd09882a645cbcb6f5f/-/horizon-files-prod/ed/picture/qxj8wxgn/5db5f1c3f451f62477da88ebe9094785d2296384.jpg
2025 MacBook Air Puce M4 ssd 1 Tera Ram 16 scelle,Neuf,Apple,"Cambérène, Dakar",1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe21cd8be25209d1bc928704b0bbf0dd/-/horizon-files-prod/ed/picture/q445r70m/0398535e9272b01efcaeb1f35dfdcfa1ee0a9a45.jpg
Mac Book Pro M4 Scelle,Neuf,Apple,"Cambérène, Dakar",1150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3310db99269029d6521ec1a04f7382f4/-/horizon-files-prod/ed/picture/q0gk85nk/c7cd753c3d078bfe265a29ce6eb27a95327d4187.jpg
MSI Katana 15' RTX 4070,Neuf,MSI,"Sicap Sacré-cœur, Dakar",950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/921410cff5a04e5db0d1d4bf1835c7fd/-/horizon-files-prod/ed/picture/q2jkkvxe/2eda0b27880137967e970a03dc1b0e1697afddcd.jpg
MacBook M4 Pro sceller,Neuf,Apple,"Sicap Sacré-cœur, Dakar",1350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf25849c3b1dae429e793e0388600207/-/horizon-files-prod/ed/picture/qj465jdd/d6eca77b33c00ef0296c6da76c85dfda2ad881d3.jpg
Lenovo Yoga Book 9i OLED,Neuf,Lenovo,"Sicap Sacré-cœur, Dakar",950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70cf0df61cb263b1fd32930208454bd9/-/horizon-files-prod/ed/picture/q9mk95zx/4cb3f9262f441a5f1918c4c140a3e839ac363d1b.png
ASUS ROG STRIX (2025) RTX 5070 Ti VRAM 12Go Dédiée RYZEN 9,Neuf,ASUS,"Gueule-Tapée, Dakar",1699000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f57c05e2c156f92bae5a155a90717343/-/horizon-files-prod/ed/picture/qxj8gjxw/12a3d3d31163e62a90e702dbfa91726d6eeb8787.jpg
ALIENWARE 16 AURORA ULTRA 9/32GO/1TO/RTX5070,Neuf,Dell,"Médina, Dakar",1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fbeb3387f7fc38c29879fc0391f5d315/-/horizon-files-prod/ed/picture/qwernjrk/ce61ea2891946bcb6baf3965db942e2dd5db6047.jpg
Hp 450 g9 i5 12e gen,Venant,HP,"Médina, Dakar",260000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/193bf21b16747437236a89db3010e415/-/horizon-files-prod/ed/picture/qxj8wx8j/820c0ff2a4b7dd14dcb3736b0aac48ccad2eee24.jpg
Macbook Pro M1 2020,Neuf,Apple,"Médina, Dakar",380000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/452ecc3bdbba640a61c319a11d14d04a/-/horizon-files-prod/ed/picture/qwerrgw4/1664af2e8a23cd5428709a4220056e8d767ebc9d.jpg
Surface Laptop 7+ (2025),Neuf,Microsoft Surface,"Médina, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2eda28725a46e4f0c05d48cbc038057e/-/horizon-files-prod/ed/picture/q6xqr5g7/912a263c7e40120a1d4b18da9fbe6fb8a7b5809b.jpg
Hp ÉLITE Dragon fly core i5 de 8th,Venant,HP,"Hlm, Dakar",225000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd189677e9c81d2b70250da04fb2ca9a/-/horizon-files-prod/ed/picture/qkr7604n/1d92c76a6e1e44570a7612d8e1c596b923f2f894.jpg
HP probook 430 G6,Venant,HP,"Plateau, Dakar",160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/80191d02036dca7f82a27898da4bff8d/-/horizon-files-prod/ed/picture/qv4d9z65/97438d0fcea9a8d68348eb9f69589c6ce6d03dc6.jpg
Dell xps13 7390,Neuf,Dell,"Grand-Yoff, Dakar",330000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8abfb767fe8eaa265f590ca78bfc7542/-/horizon-files-prod/ed/picture/q78jxgwg/f8e1b7decdc34d452203609a5653fea28d68350c.jpg
Dell 5480 i5 ram 8,Venant,Dell,"Médina, Dakar",115000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c040c961a07b5a91a8491598c92f947d/-/horizon-files-prod/ed/picture/qrzrngp2/b1eb82f36f83a09bf1f3596363bacd4483391b4b.jpg
Promo Hp EliteBook 840 Corei7,Neuf,HP,"Médina, Dakar",180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/17e03983669af2925070a137cea6cb68/-/horizon-files-prod/ed/picture/q2jk8gdv/2c53da2e224fc5d05b40c388db3bc339c44d739b.jpg
LENOVO L13 GEN 5 ULTRA 5/16GO/512SSD,Neuf,Lenovo,"Médina, Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e81cb283aec3f1c7bfeff74f4f6e141c/-/horizon-files-prod/ed/picture/qv4d9zkx/5f8e4c625060309d554abd6e7bbd8dc65883edfa.jpg
HP ProBook 435 G7 x360 10th gen,Venant,HP,"Plateau, Dakar",260000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9396ab6a11a54de2dec1a9aa69c1e821/-/horizon-files-prod/ed/picture/q6xqr5vv/2909d2f1e3061e54c618fce56d1453534f9a3a2a.jpg
DELL LATITUDE 5550 ULTRA 5/32GO/512SSD TACTILE,Neuf,Dell,"Médina, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/399f87a8cafa2b97bbea716b9bf407c8/-/horizon-files-prod/ed/picture/q8vmkgk7/503e8a81f5d27f2ccf43b7527de1859804b893b3.jpg
MACBOOK AIR M4 512giga,Neuf,Apple,"Plateau, Dakar",875000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6d802427fac4b5f31f41d379acc9065e/-/horizon-files-prod/ed/picture/qrzrnkw5/14de02be93d8662d90e50d559139c3d85914b01d.jpg
MacBook AiR M3 /16GO/256 SSD SCELLE 15 POUCE,Neuf,Apple,"Médina, Dakar",800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7901a14f53d59f15d2c1429443e0bfb3/-/horizon-files-prod/ed/picture/q9mkrk9x/7b113f5043d274a7cb157efd9bf9cec4f2890586.jpg
Mac book Pro,Venant,Apple,"Hann maristes, Dakar",200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/29f327833818f322d94696749124bd33/-/horizon-files-prod/ed/picture/qenrppj6/6452b9f8d24c5ff9e6ba698a0ad39e73cc589c34.jpg
MacBook 2017 16/512,Venant,Apple,"Yoff, Dakar",320000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6d003247611b2303566492a99675dc8/-/horizon-files-prod/ed/picture/qwere9vz/3313cc49177effeff96aabeaddcfc79c8ef0dd5f.jpg
Précision I7 11th 16/512,Neuf,Dell,"Yoff, Dakar",375000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/456282609ead5dfe5fde3be7eea0792e/-/horizon-files-prod/ed/picture/q78jvmkd/2be3ee35649179a1fe2590149c6a63c26e3fde3e.jpg
HP Elite Dragonfly G1 x360,Venant,HP,"Plateau, Dakar",290000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/52d38203aeec24ed4f45b3061491fda4/-/horizon-files-prod/ed/picture/qm50vn0z/1165880689439e335ef9511e96869f97a82615c6.jpg
Lenovo ThinkPad X260,Venant,Lenovo,"Plateau, Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fab8095bbcbc1e1d400f138c28f061fd/-/horizon-files-prod/ed/picture/q8vmkgm7/566f89f797a9317184bda62df3ce9e6fb0ea06e7.jpg
💼 Dell Latitude 7390,Venant,Dell,"Plateau, Dakar",155000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd56c7773f46405f49f9a123a6423bd0/-/horizon-files-prod/ed/picture/qenrpwr9/7da83a10556cc901b68d4d0fc853b3152d87a0f7.jpg
Surface Laptop4,Neuf,Surface,"Grand-Yoff, Dakar",330000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35ca1c104454691eed443d5bd50f9710/-/horizon-files-prod/ed/picture/q56prgxn/606d80ec5cebf0d5039a6ebaf5f6f01e6639c5a6.jpg
Dell Inspiron 7425 2-en-1 12th Gen,Venant,Dell,"Plateau, Dakar",300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/83d588b31369fdc0ddb15d1e7681ca42/-/horizon-files-prod/ed/picture/qq4zw62n/62f866d0a1c8aee1e8ea3b6dc3b38d8791d2e6d4.jpg
HP ProBook 645 G10 13th gen,Venant,HP,"Plateau, Dakar",280000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7280168a18d22b354a485cb17a4cffe0/-/horizon-files-prod/ed/picture/qde9dnkm/89c5060419c43474d72a55e6351c342b2906a08a.jpg
Hp elitebook AND Ryzen 7 Pro,Neuf,HP,"Grand-Yoff, Dakar",160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/00753ba14d15822ae6d9bb3d4e730d9a/-/horizon-files-prod/ed/picture/q2jk8gr2/49ab97e00d7424cfa73aabc28aad34f369364927.jpg
asus Rog Zephyrus G14 14 pouces écran OLED Ryzen9,Neuf,ASUS,"Grand-Yoff, Dakar",990000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c81c31d0b5155c75cc3043ccad96bd3b/-/horizon-files-prod/ed/picture/q8vmkg54/bfe93f49a345f61d213d3e2df297c29cc692585c.jpg
HP ProBook 445 G8 11th Gen,Venant,HP,"Plateau, Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5044e382e9f10c4771954d22dc30b26c/-/horizon-files-prod/ed/picture/q445rp85/948b2b3b0f397530242ccaf055b6cc624124c060.jpg
HP ProBook 430 G6,Venant,HP,"Plateau, Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/540d094cc796abe4cd6d01cfd1408ef4/-/horizon-files-prod/ed/picture/qwernk45/bd976ee20497e60c29e75fbc24d6588c3d479c25.jpg
Dell core i7 disc 1tera ram 16g,Venant,Dell,"Yoff, Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38610f7f221cbc139f3b8abf3fa06d6d/-/horizon-files-prod/ed/picture/q6xqr56p/ba60a00e3a04a20881aa1e53c05baca062299e40.jpg
Dell Latitude 7450 Ultra 7 (2024) Écran tactile 14 Pouces,Neuf,Dell,"Médina, Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28f815cccf188a69bfebb1be128d21ba/-/horizon-files-prod/ed/picture/q6xqrvzd/70a6a72e37e7faa41a6a4a8c32c17e41fd355d3c.jpg
All In One tout-en-un Dell OptiPlex 7760 i7 8th Gen,Venant,Dell,"Médina, Dakar",350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1c35b8710cab58b79265c0dd4942d2f/-/horizon-files-prod/ed/picture/qenrpx25/f6669fd3f1ce49ad027ca3b2886d031345366805.png
All in One I3 22 POUCESS 13eme GENERATION,Neuf,HP,"Médina, Dakar",345000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/392dbebff30c02f201b1f51bf887b6c9/-/horizon-files-prod/ed/picture/qpdgnjjx/088e86bc6d71717ce91de66b6a78cb9d656dec5a.png
Macbook Air 2024 M3 256Gb / Ram 8Go,Neuf,Apple,"Gueule-Tapée, Dakar",520000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e98b16307523021392b3405ace5e1036/-/horizon-files-prod/ed/picture/qq4zw55v/e07a54e25c5dadbcc94ec3cfa2b118d696a540db.jpg
Msi Thin 15 RTX 4050,Neuf,MSI,"Médina, Dakar",530000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cce9636ab4e6199b6b9b92f792187b64/-/horizon-files-prod/ed/picture/qngp4x5x/e80c11efadddbd975f5e9353a30864211442b94b.jpg
Ordinateur HP ELITBOOK,Venant,HP,"Dakar, Dakar",125000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8a02167f0d3d3700e8a95c9a061abb72/-/horizon-files-prod/ed/picture/q0gk89pk/939e15bcc5557365997a2bf483cec25093b5450c.jpg
HP Elitebook 830 X360 Yoga Ecran tactile 10th Gen 13.3,Venant,HP,"Médina, Dakar",290000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2640ae2c09caa1631e4b40c2c04eb9fd/-/horizon-files-prod/ed/picture/qenrppe2/f2c626708343e70041b1ef6532d7541a2bb2485f.jpg
iMac 2024 M4 256 go ram 16,Venant,Apple,"Médina, Dakar",895000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0e66beba89fc1071f79d03acdeb2e299/-/horizon-files-prod/ed/picture/qzv8rrkg/e0b4ee4bee6e2af12961080746321505ede64700.jpg
"ORDINATEUR DELL LATITUDE 3450 : i5, 16 Go, 1 To SSD",Neuf,Dell,"Plateau, Dakar",499000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/04ed33783c11afd1519427b082dfa49b/-/horizon-files-prod/ed/picture/qrzrqk62/07c9c0b03a79b4a078abce0e39bb2097f5903724.jpg
ORDINATEUR DELL LATITUDE 5320  (GARANTIE 1 AN ✅️),Neuf,Dell,"Plateau, Dakar",879100,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b4838df7ad1983705ff31312a6388b1/-/horizon-files-prod/ed/picture/qj46qwxw/1497c3dfd2da33f4cb738baa79166c85cdebd7b5.jpg
Hp 250 g8 i3 1eme 256gb ram4gb,Venant,HP,"Médina, Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f7a3851eaa6f6ce9832eec6f35769f6/-/horizon-files-prod/ed/picture/q6xqnw9z/22570a3ac1030ab7c6368c2b7a16ca481d3562da.jpg
MacBook Pro M1 2020,Venant,Apple,"Médina, Dakar",390000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/47a68dbd41af937169e072f525625b9e/-/horizon-files-prod/ed/picture/qq4zwwxw/744ea0098575f2a4b15b673f2558ef83e15e3caf.jpg
Pavillon tacktil i5 10th,Venant,HP,"Médina, Dakar",110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/307df81ff2942648b30570249ffadf5d/-/horizon-files-prod/ed/picture/qm50vv99/e5158bd0fdd47645827136bb3507708f235297fd.jpg
Hp 820 i5 500gb ram8gb,Venant,HP,"Médina, Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d8a5e1b9383dc78a1a42dfac8b3523a/-/horizon-files-prod/ed/picture/qrzr6645/dc90f4e25385f81c9ac950ddbc9e5f75bbaca339.jpg
Air 2015 i5 11pouche 256gb ram4gb,Venant,Apple,"Médina, Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/29681e73b262b92e45758f3b535360fc/-/horizon-files-prod/ed/picture/qq4zww8w/f78512eee90c960c4c74d5779545b81e829efa2a.jpg
MacBook Pro 16 pouces M4 Pro 2024 24/512Go,Neuf,Apple,"Gueule-Tapée, Dakar",1350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b8f725894a4afe46036dba1a2477608/-/horizon-files-prod/ed/picture/qwerp8wz/d590eb3ae35b68f464e19f245f7aeaa8725f01ee.jpg
MacBook Air M1 Ram 8Go SSD 512Go Azerty,Venant,Apple,"Gueule-Tapée, Dakar",399000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9786ef81b138aef5d28080314b664aaf/-/horizon-files-prod/ed/picture/qenrrg5v/047b68c0572661aa2f73ff74811d20f566913954.jpg
MacBook Pro 16 pouces M1 Pro 2021 32Go Ram,Neuf,Apple,"Gueule-Tapée, Dakar",820000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf166f27a5f023d93c6e6009a1d8e403/-/horizon-files-prod/ed/picture/q4454jn5/23a4067f75373c72e8d543541a10eb25a2061413.jpg
SURFACE LAPTOP 3,Neuf,N/A,"Dieuppeul, Dakar",245000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc589b3432380fcf7daaf9a6554b9734/-/horizon-files-prod/ed/picture/qv4dw905/5235150f5d16c90653883f8af9c29f00f5c550f7.jpg
