détails,état,marque,adresse,prix,image_lien
"Samsung QLED 70"" AI 4K (2025)",Neuf,Samsung,"Patte d‘oie, Dakar",950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/686a4721e79828a58815ab93dc1d63a8/-/horizon-files-prod/ed/picture/qv4d99z5/f722cae3c763581f45093fc65c410a2c2e1db063.jpg
"LG 65"" UT80 4K AI (2024) 🇺🇸",Neuf,LG,"Pikine, Dakar",500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a92a5b766373858488550d2cb46c85be/-/horizon-files-prod/ed/picture/qkr8wjwv/6f6d4363aca5290000b47077719e4a356f1bc3b9.jpg
Téléviseur deska 43 smart Tv,Neuf,Autre,"Plateau, Dakar",108000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ef1f122376d7f4b1db18619cbefdcf2/-/horizon-files-prod/ed/picture/qkr7668v/50e3539960c9483d9fb518cb347145d777886b53.jpg
Box TV 8GB | 128GB 12.1,Neuf,Autre,"Grand-Yoff, Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e2299ac22607adcfc71afd69438dd8de/-/horizon-files-prod/ed/picture/qkrmkz5j/d9ecdc9a8a9487ac486bf95eda80893c8d8c33a9.jpg
"tv smart hisense 65"" uhd 4k full options",Neuf,Hisense,"Ouakam, Dakar",380000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/43298a595c2c4c3278ed999731ad5a1b/-/horizon-files-prod/ed/picture/qenvq9x9/80c8264dba13e98fc565860097a7b97368d27728.jpg
"SMART LG 55"" UHD 4K (2024)",Neuf,LG,"Pikine, Dakar",350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bafad0e8da6a769f5415e08cea1f4010/-/horizon-files-prod/ed/picture/qngpknw0/95864f82a714a33621e2be06d5c3b70418d59f4c.jpg
"Samsung QLED 75"" AI 4K (2025)",Neuf,Samsung,"Patte d‘oie, Dakar",1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f6170cab67214e649a6c20253cd0c1c/-/horizon-files-prod/ed/picture/qwernrmp/4c399a44c9482352fb9200b6ff219e17bed1c299.jpg
📺✨ Android TV Box – Transformez votre télé en Smart TV !,Neuf,Autre,"Zac Mbao, Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6fddd8c674dc5b38381097b41cf857f/-/horizon-files-prod/ed/picture/q0gk82km/4258dcf6f3719afff590e65ae2be3c5faff2e0be.jpg
Télé LG 43’´ smart full options,D'occasion,LG,"Mamelles, Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fdc336de6c6ae04e72658776acec070a/-/horizon-files-prod/ed/picture/q56pr420/df18755122164f8c8dbde70ef0ee92a1275b1e2d.jpg
T 50 pouce smart technology,Neuf,Autre,"Colobane, Dakar",169900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/523c22eee8fdcf2e2f105643e499a9be/-/horizon-files-prod/ed/picture/qxj8w292/3bee50631b95fb490dc2f3dbc5058371f2cef459.jpg
"Support TV sur roulettes 32"" - 55"" pouces VESA 400*400",Neuf,Autre,"Castor, Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99c40638e2661d4e19d4278dd55cd71f/-/horizon-files-prod/ed/picture/q56d28n6/27f6ebc4ed22c1658410b102d9d3c9444ef65454.jpg
"Samsung QLED 85"" AI 4K (2025)",Neuf,Samsung,"Patte d‘oie, Dakar",1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9449fbede883a3557eb1996b960fd1cc/-/horizon-files-prod/ed/picture/qenrpnrd/14281f489679776767efd90ad41175410243f386.jpg
