détails,état,marque,adresse,prix,image_lien
TELEVISEUR 32POUCES SAMSUNG SMART UA32N/ T5300AS,Neuf,Samsung,"Plateau, Dakar",119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e207588f9ce3b736d7e8d77e5dbe6890/-/horizon-files-prod/ed/picture/q78jp97j/1a99cf9ef9b40c87be67d8ba3fa93c3db9eec40a.jpg
TELEVISEUR 55POUCES SAMSUNG QLED 4K 55Q60D,Neuf,Samsung,"Plateau, Dakar",398000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ce1ed3d7cd25bff9ec782770084e359/-/horizon-files-prod/ed/picture/qde904wr/780e71a746f69a971f31a4824fe72e1f1ba921f4.jpg
TELEVISEUR 75POUCES SAMSUNG SMART 4K UACU8100KXXT,Neuf,Samsung,"Plateau, Dakar",698000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0aaaa4c36c4fc01d47a729c156a32970/-/horizon-files-prod/ed/picture/qpdg02dx/57f2aad73da3f780c249a4ec15ad03a71984eac3.jpg
TELEVISEUR 85POUCES SAMSUNG QLED 85Q60DAU,Neuf,Samsung,"Plateau, Dakar",1239000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c546fb98607a4687f38cfa9c3986680b/-/horizon-files-prod/ed/picture/q4450742/e10852e923eec9aca2b769b2ab840fe15c998466.jpg
TELEVISEUR 85POUCES SAMSUNG SMART UHD 4K CU7000U,Neuf,Samsung,"Plateau, Dakar",939000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e98739e5ce2dd9fcd4b777f6d4dee7fb/-/horizon-files-prod/ed/picture/qv4dgx4g/7e19bd010d53714f1b2570edee01ea1b47f760b0.jpg
TELEVISEUR 55POUCES SAMSUNG SMART UHD 4K DU7000UXZN,Neuf,Samsung,"Plateau, Dakar",298000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d87bedb174a809177d067a045a82a221/-/horizon-files-prod/ed/picture/qde904er/08da3632e16a7278a73ec9000be9987e05a487f8.jpg
Tv Samsung 43 pouces smart tv,Neuf,Samsung,"Colobane, Dakar",210000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9623ac5392fd2ab70ef2e64e6b0046e/-/horizon-files-prod/ed/picture/qenr9wx2/a97987658cee501687602200daf05cc0c2c9ce25.jpg
TELEVISEUR 32POUCES WIWLIL SMART 32QBR1W,Neuf,Autre,"Plateau, Dakar",73000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/27a7085144d3068a45b91274a7aa0f2f/-/horizon-files-prod/ed/picture/q2jk7gr6/2bd924c69053fc0c8b29b90bfde11e96c0797cef.jpg
TELEVISEUR 55POUCES WIWLIL SMART 55QBQ6W,Neuf,Autre,"Plateau, Dakar",198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/865d7606084618944adac1458b93028d/-/horizon-files-prod/ed/picture/q8vmp9q6/783ac01ea8f92daf8df735f5c8c8a8a6eb41b11d.jpg
TELEVISEUR 65POUCES WIWLIL SMART 65QBF1W,Neuf,Autre,"Plateau, Dakar",279000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99894fe2ddd177666672576485cf9ceb/-/horizon-files-prod/ed/picture/qwergwm6/f83831a37c4af3af74d5f31cf5135341463ca8f5.jpg
TELEVISEUR 43POUCES WIWLIL SMART 43QR1WS,Neuf,Autre,"Plateau, Dakar",115000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e197dbc914cb9b4e74ce8709047ccb1a/-/horizon-files-prod/ed/picture/q0gkndgx/faa597c5e81a89f5d28e3e9c52f625bdb8a8bf81.jpg
"smart hisense 58"" uhd 4k full options",Neuf,Hisense,"Ouakam, Dakar",320000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42fe80d1497c3860afd0783f66cdaf3b/-/horizon-files-prod/ed/picture/q0g7xdpz/a5e7ccf900c6eae8963abd13303fda150afb7974.jpg
Téléviseur Samsung 50 pouces Crystal UHD 4K,Neuf,Samsung,"Cité keur gorgui, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d9fee0b12ae7911e15690b1e015357c/-/horizon-files-prod/ed/picture/qwergn9d/ced2eacb34d01955f03d9004efaec61888d8de95.jpg
TELEVISEUR 32POUCES WIWLIL SMART 32QBR1W,Neuf,Autre,"Plateau, Dakar",73000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/efd4f8521e1e91bfaf4210c8463538bf/-/horizon-files-prod/ed/picture/q8vmp9zr/0ca9873907f5c4ccbcb52f3725bd3dd4bf20d933.jpg
TELEVISEUR 75POUCES WIWLIL SMART ANDROID 4K ULTRA HD,Neuf,Autre,"Plateau, Dakar",498000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dec05ec10608c9b561a735724a11b5e7/-/horizon-files-prod/ed/picture/q9mk5n9w/fc8bec867b9622419d32bdef37c1b964c0ae0fcb.jpg
TELEVISEUR 43POUCES WIWLIL SMART 43QBHLW,Neuf,Autre,"Plateau, Dakar",115000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8f730cf0c821e0c5e09c8fa51c2f210/-/horizon-files-prod/ed/picture/q78jp07x/3e038fc6f0bf59731df59b5d733a3cd0fd52c1ba.jpg
TELEVISEUR 55POUCES WIWLIL SMART 55QBQ6W,Neuf,Autre,"Plateau, Dakar",198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/136884054e3d91e4d985e0cbea6f4a14/-/horizon-files-prod/ed/picture/qwergke5/ccd8d6e744087136491be0bb18cac2645f486690.jpg
TELEVISEUR 65POUCES WIWLIL SMART 65QBF1W,Neuf,Autre,"Plateau, Dakar",279000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9234e163f0b31f06df9c19d262f2d843/-/horizon-files-prod/ed/picture/q2jk7wrj/1c25426b0eae3dd42a049cd5f3dec07a43a3c8a4.jpg
Smart tv 32 pouces Star track (wifi +Android),Neuf,Star,"Médina, Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87c84960249f55f42f8396a5ed27f791/-/horizon-files-prod/ed/picture/qxj2xxzm/0820c912ea26f59c790de70f30bd209ac6a8771d.jpg
TÉLÉVISEUR 32POUCES TCL SMART ANDROID 4K UHD 32S4500A,Neuf,TCL,"Plateau, Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7cd392fb02263b275cb8e5b085c7c6af/-/horizon-files-prod/ed/picture/qzv8zrjv/ee1aad3ea5484bbdd877f5d6402db053e0c5e45f.jpg
TÉLÉVISEUR 85POUCES TCL SMART GOOGLE TV 4K P745,Neuf,TCL,"Plateau, Dakar",829000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a44d47e12cb3e4ebcb273a49e83d4d20/-/horizon-files-prod/ed/picture/q56p9r97/3426617fba08f4fb2a40c9ae4dbbb7021f694440.jpg
TÉLÉVISEUR 32POUCES TCL SMART ANDROID 4K 32S5400AF,Neuf,TCL,"Plateau, Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/791289b63160c7d5b5d6193005996217/-/horizon-files-prod/ed/picture/q8vmpkpn/61d9e86d8ddb1d1e5fdc26acc30936c9366fbd6e.jpg
TÉLÉVISEUR 75POUCES TCL SMART GOOGLE TV 4K 75P755,Neuf,TCL,"Plateau, Dakar",498000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5c67ae09d11fef4e394aaf13f5e404a0/-/horizon-files-prod/ed/picture/q6xqnrn6/95de1b4c0c133357d9d4912b877932077ea307fd.jpg
TÉLÉVISEUR 43POUCES TCL SMART ANDROID S4500A,Neuf,TCL,"Plateau, Dakar",135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/23f85977d280e2f50c489d615f095ab2/-/horizon-files-prod/ed/picture/qgqmp4mr/e201613c69a02b336df261b89b3e9abb10794308.jpg
Home Cinéma 7.2 canaux 8K,Neuf,Autre,"Grand-Yoff, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0f1cfd863ce58cfaaab72edac5eb5384/-/horizon-files-prod/ed/picture/qde7m5nj/e2850b2c488bcd5abf07686f6001dcb2cffc48ad.jpg
TÉLÉVISEUR 65POUCES TCL SMART GOOGLE TV 4K 65P635/65P755,Neuf,TCL,"Plateau, Dakar",349000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7819758419a3c12bda7f426f2d41b0a5/-/horizon-files-prod/ed/picture/q56p9rdg/69158b0cb7a378c38aade63876a9a7d48b6797dc.jpg
TÉLÉVISEUR 55POUCES TCL SMART ANDROID 4K P635,Neuf,TCL,"Plateau, Dakar",249000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1637b8e911cd5ef5bccc85fd63807108/-/horizon-files-prod/ed/picture/qm506vgr/ad8afa2bc8753cd41eafa9026afc312c237799e1.jpg
TÉLÉVISEUR 43POUCES TCL SMART S5400A,Neuf,TCL,"Plateau, Dakar",135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c688a5e9b294656276d12d5547136d87/-/horizon-files-prod/ed/picture/q8vmpk5j/dac960fb6345f62e8444cc0490d9427f3dec22ac.jpg
TV Astech Android,Neuf,Astech,"Plateau, Dakar",80000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd9bdae88d6d746716184af6cb141965/-/horizon-files-prod/ed/picture/qngp05e9/b441ce9ffb95d0e060eca42e8c06d754318e7675.jpg
Mini Vidéoprojecteur,Neuf,Autre,"Grand-Yoff, Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5036c15245f85c0d9bd84412df8ce12a/-/horizon-files-prod/ed/picture/qrzrn6v2/a07650f406bde23f6a623f87ac38164e648504f7.jpg
TÉLÉVISEUR 55POUCES TCL SMART GOOGLE TV 4K UHD 55V6B ZXW,Neuf,TCL,"Plateau, Dakar",249000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5bee59b8c79e42fcde7688bb45837f66/-/horizon-files-prod/ed/picture/q2jk78r8/b7cb3450f3ce0ff5afe3a488612733c369a7ca4f.jpg
TÉLÉVISEUR 85POUCES TCL SMART GOOGLE TV 4K 85C655ZXM,Neuf,TCL,"Plateau, Dakar",829000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f3086bc220e63aea75a71a2232258968/-/horizon-files-prod/ed/picture/qwergne4/dc0368dae466516452ef39d385255d60adaa4c98.jpg
TÉLÉVISEUR 85POUCES TCL SMART GOOGLE TV 4K 85C655ZXM,Neuf,TCL,"Plateau, Dakar",829000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d8db1c273e41a28e64b3b9cba1a3e6c/-/horizon-files-prod/ed/picture/qng977ev/7e468e34a65cd7b0d989eec7dfcc16f17080d748.jpg
TÉLÉVISEUR 55POUCES TCL SMART GOOGLE TV 4K UHD 55V6B ZXM,Neuf,TCL,"Plateau, Dakar",249000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4dfa6241738095088477838abf607c2a/-/horizon-files-prod/ed/picture/qrzrnnxg/5c8b932240f0ce5c686ec5d16da669bff2879575.jpg
TÉLÉVISEUR 32POUCES TCL SMART ANDROID 4K UHD 32S4500A,Neuf,TCL,"Plateau, Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a6f1c7505dd22f1c53c417d083712d9/-/horizon-files-prod/ed/picture/qm5066wm/3019cf35c905bdb16bad11b8aa2d0e1fcc361035.jpg
TÉLÉVISEUR 85POUCES TCL SMART GOOGLE TV 4K P745,Neuf,TCL,"Plateau, Dakar",829000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f42b5decc436594b0e5cdac892546cd/-/horizon-files-prod/ed/picture/q56p99nr/3f9040dbfd111a6feedb99b5b4a38e7fb9cc4142.jpg
TÉLÉVISEUR 32POUCES TCL SMART ANDROID 4K 32S5400AF,Neuf,TCL,"Plateau, Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f2ed104baec3442400ddae77185ed7fb/-/horizon-files-prod/ed/picture/qng9778v/9235f18bf6e05b525376b4e369299213f99bc783.jpg
TÉLÉVISEUR 75POUCES TCL SMART GOOGLE TV 4K 75P755,Neuf,TCL,"Plateau, Dakar",498000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c594dce2d0bbb88e2ff4978c829a4a47/-/horizon-files-prod/ed/picture/qde900m0/fa0fd187e14fa68e0ac28ced1c5343c466b5ee31.jpg
TÉLÉVISEUR 43POUCES TCL SMART ANDROID S4500A,Neuf,TCL,"Plateau, Dakar",135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/667ee8fa20bfbd57b379473dd53701a4/-/horizon-files-prod/ed/picture/q8vmpp26/c865e4e86362a2abd6975e996f0aa84b3355a8bf.jpg
TÉLÉVISEUR 65POUCES TCL SMART GOOGLE TV 4K,Neuf,TCL,"Plateau, Dakar",349000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68ec67cfa2ae260292983d2a3055564a/-/horizon-files-prod/ed/picture/q44500mr/2f564aaf5e3082bfe2d51f09345b6da9f2ff9b53.jpg
TÉLÉVISEUR 55POUCES TCL SMART ANDROID 4K P635,Neuf,TCL,"Plateau, Dakar",249000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/51949740a86883742a687e7e9a078df9/-/horizon-files-prod/ed/picture/q0gknnzg/2a046d2c15474a089808a354e91ea1bacc3b48a5.jpg
TÉLÉVISEUR 43POUCES TCL SMART S5400A,Neuf,TCL,"Plateau, Dakar",135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e4ca92bee92f09ae27e29f9e1afd0ffb/-/horizon-files-prod/ed/picture/q56p99v0/d9a41ea2493c4d9faf9c1eb55a957dd1a4177f82.jpg
TELEVISEUR HISENSE 50 LED SMART VIDA UHD 50A6N,Neuf,Hisense,"Plateau, Dakar",235000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21a7015cf53ec23dd57c6a5a7ca739ec/-/horizon-files-prod/ed/picture/qq4z9zd6/216353b121718eff0aa40f2652c8aa4e00288e53.jpg
Téléviseur Star X Led 32 Pouces,Neuf,Star X,"Mermoz, Dakar",80000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0f2ffa47ed10809544807ac0852c171d/-/horizon-files-prod/ed/picture/qv4wnwng/307e777da6d431622bbafe07deb2bc0f22c0ea4c.jpg
TV Sony 65',D'occasion,Sony,"Plateau, Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f43b5a3bbe9d7a49da11f7dacd622c01/-/horizon-files-prod/ed/picture/q9mk50w5/b66be026ba223e1c4e9534ec82deef6d6e9eab0c.jpg
KIMISO speaker,Neuf,Autre,"Parcelles Assainies, Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/02b6f92331e202a3a94b5194e918ca21/-/horizon-files-prod/ed/picture/q9mk5mjp/3901246856000039714c4b00e6453eebe9d7630b.png
"Smart TV Hisense 43"" - Neuve (très bonne affaire)",Venant,Hisense,"Ngor, Dakar",120000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/096bda5f59526e74344253956907ce27/-/horizon-files-prod/ed/picture/q56p969x/f8ff43a31641d396b5710160e5c9e06707d90712.jpg
Tv 43 pouce 43 finix smart tv,Neuf,Autre,"Colobane, Dakar",110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dd0551d2e10e4080b4e0ecfff95cc44/-/horizon-files-prod/ed/picture/qng97g2g/0152b1ecd9568d29e1d7ab62a69e6ec7d1b6cd8f.jpg
LG 65UR80,Neuf,LG,"Liberte 6 extension, Dakar",650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/473313dc8015a5d37d631875ff2b65d4/-/horizon-files-prod/ed/picture/qzvp75eg/3c022f9ddb1e590a63625857187d1905e7d00445.jpg
SMART TV AIWA 55 POUCES WIFI 4K 139 CM,Neuf,Autre,"Plateau, Dakar",275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a46268a04a34d7ecb480d753949958b8/-/horizon-files-prod/ed/picture/qnkzwje/034431d6a006c9ef1448b7bebb691e01cb7727f7.jpg
IPTV Premium,Neuf,Autre,"Grand-Yoff, Dakar",4000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8dc961e9c3c6065109404f687962805/-/horizon-files-prod/ed/picture/qq4dg0mj/12b00dd9c2a078d1ed0f85f11d2720488d7bf218.jpg
"Smart tv TCL 55"" Android 4K UltraHD",Neuf,TCL,"Plateau, Dakar",275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/26e68ac4358303fcd2062e038ac67043/-/horizon-files-prod/ed/picture/qrpvvd5/1b950ef2d6e9b578dfcaf94fbc2263f79d46aab1.jpg
Téléviseur Deska 55 pouces Smart,Neuf,Autre,"Plateau, Dakar",180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d6a7ef70e3a82beea86bdb105c0829a4/-/horizon-files-prod/ed/picture/qzv8vdrg/20c2a1ba548755795636a33f32a44069788ee648.jpg
SMART TV TCL 55 POUCES 4K UHD ANDROID GOOGLE TV 139 CM,Neuf,TCL,"Plateau, Dakar",260000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e7e9aad3488cc7caf8563cd8df7d1769/-/horizon-files-prod/ed/picture/qgqwk000/59e66c9f5fa3f5e63767a2af081dbc98b0303b72.jpg
TELEVISEUR 43POUCES WOW SMART ANDROID 43SF5200B2,Neuf,Autre,"Plateau, Dakar",110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b008790ec63923bad29f8c93ec13c72/-/horizon-files-prod/ed/picture/qrzrred4/b6f775daf54d155230187e8341b68d1fe802466d.jpg
TELEVISEUR 43POUCES ASTECH SMART ANDROID 43AC111 D,Neuf,Astech,"Plateau, Dakar",135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/800f5ca200827a61d229ed3359550b28/-/horizon-files-prod/ed/picture/q56pp0ng/21ae6652464bc73a1f11178a301cd5911061545c.jpg
TELEVISEUR 32POUCES ASTECH LED 32P016,Neuf,Astech,"Plateau, Dakar",69000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64fdfefcf20652cb9f0192b54c907525/-/horizon-files-prod/ed/picture/qrzrrem5/2c8cb9aabf23955a6503b893bff952603e6c6908.jpg
Téléviseur West 65 pouces Smart Tv,Neuf,Autre,"Plateau, Dakar",265000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd9751ef67f62e6070bf2d0da94b3520/-/horizon-files-prod/ed/picture/q2jkzejg/27b666cf249d4e5b149fe08999224ec61d9e3c84.jpg
Téléviseur Hisense 43 Pouces,Neuf,Hisense,"Plateau, Dakar",130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/91de619b5dcd633c4047fed21a902860/-/horizon-files-prod/ed/picture/qpdwkkvm/a0f1476b43902f1653dc8dc932d62d377bb6b960.jpg
TÉLÉVISEUR 32POUCES SMART TECHNOLOGY STT5132A,Neuf,Autre,"Plateau, Dakar",63000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2461c5beafe080a48c8f6182b35b6b96/-/horizon-files-prod/ed/picture/q0gkk49e/f412521dcce0b9fa3b5b6a5422153ba4a9da2f7b.jpg
TELEVISEUR 32POUCES SMART TECHNOLOGY SMART STT5132SA,Neuf,Autre,"Plateau, Dakar",73000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/164a8ca91a6bae15e0ca4832884fd1be/-/horizon-files-prod/ed/picture/qgqmm644/68c7a8c21decc0940fb9e6dd685fdd2c87c005c2.jpg
"tv smart haier 43"" android full options",Neuf,Haier,"Ouakam, Dakar",160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/520b5a38d8e12ab9980e2d9820941966/-/horizon-files-prod/ed/picture/q78w56wd/fa60dbe1081489d1740fb43c9c561429d65c3b11.jpg
TÉLÉVISEUR TCL 65 POUCES 4K UHD ANDROID GOOGLE TV 189 CM,Neuf,TCL,"Plateau, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd03a04776c216f4a2e1059b8400fef0/-/horizon-files-prod/ed/picture/q9mj69w0/d6b312b19b1f2a0a8077e34d9fa5e34f4414787d.png
TV LG OLED AI B4 | 2024 | 77 | 4K UHD | Processeur α8 AI 4K,Neuf,LG,"Ouakam, Dakar",1400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4d5824ad6a4ba8024360ebc22d6714b5/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qng998gr/4200680e01a42aeee886bd17fd7d5f915dd7c43e.jpg
Tv 75 pouces,Neuf,N/A,"Plateau, Dakar",659000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e3a873715f1241d30217d4991cb64db1/-/horizon-files-prod/ed/picture/q0g79gmk/113122922548b214c2e45c43961ce1779e5de4a7.jpg
SMART TV SAMSUNG 65 CU7000 4K UHD,Neuf,Samsung,"Plateau, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c4caef370eb005968423ec3400b47e0/-/horizon-files-prod/ed/picture/q2jqmgej/dfc59a2f9af0602972fd6c53cee2369d66a9f7b5.jpg
SMART TV TCL 75 POUCES 4K ANDROID GOOGLE TV 189 CM,Neuf,TCL,"Plateau, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c5d58fbc7e5ebe11e6dc349880aeda8/-/horizon-files-prod/ed/picture/qwep52w5/373fcbfe7aac235c7a94cdec78df321074f5df35.jpg
SAMSUNG SMART 32 ET 40 POUCES,Venant,Samsung,"Guediawaye, Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad5acf6471665234afaf4963e31839d3/-/horizon-files-prod/ed/picture/qde99j47/d741494bffc2c71826f412533fa09f5ac6d384fa.jpg
TV ROCH 4K,D'occasion,Roch,"Djily mbaye, Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3de379af230dc538bed4e5688bc15439/-/horizon-files-prod/ed/picture/q78jjmj5/60f2dc24a19e40a50c5aa824c874bf09b4bc1149.jpg
SAMSUNG SMART TV 55 POUCES DU7010 LY 4K UHD,Neuf,Samsung,"Plateau, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64a4fd9db5f1971ebca613a422194054/-/horizon-files-prod/ed/picture/qgqwj4de/db9ad0f979f52e54219b4e8722d71258c33757f9.jpg
TÉLÉVISEURS HISENSE 55 pouce smart UHD 4K,Neuf,Hisense,"Plateau, Dakar",269000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a64e98580ed77a9ea3d73d3d428796ba/-/horizon-files-prod/ed/picture/qpdgg70j/36bac886b74722b6b82f8bfc09fef8ca3c8a4164.jpg
"smart google tv 43""",Neuf,Astech,"Ouakam, Dakar",135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/51ac3542c9f894e66b600f6c8febe3e8/-/horizon-files-prod/ed/picture/qkr8jx8m/dabcf4e40a86f51cf267e69d9d7e27c82dc33fae.png
TÉLÉVISEUR 55POUCES HISENSE SMART VIDAA UHD 4K,Neuf,Hisense,"Plateau, Dakar",269000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/707558373c3c86e60c943b711c716e5b/-/horizon-files-prod/ed/picture/qgqmmz0q/851c691fbc6fb0ae35134d91cfbfb91e03ae1dd9.jpg
ASTECH TV LED 43 POUCES SMART TV WiFi,Neuf,Astech,"Plateau, Dakar",160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19bc30fb440b668c5812cbec3864c5a0/-/horizon-files-prod/ed/picture/qmkj9e2/6fcd8080094b3e2cda0948f877747498aa54135a.jpg
MINI CHAÎNE SONY HCDSHAKEX10ME4 SSSHAKEX10PME4,Neuf,Sony,"Plateau, Dakar",369000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a66b86e1e4c1732bd65bfbeb8d8c4fca/-/horizon-files-prod/ed/picture/qrzrr56j/164b9fecd6aad3aa70a2d5b52fcf6bccef24723e.jpg
BARRE DE SON SONY HT-S700RF,Neuf,Sony,"Plateau, Dakar",289000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cff663fa0ed0b4f5908df7f5dea49ef7/-/horizon-files-prod/ed/picture/qzv88ezn/ae48f2f1f0520fe6203c9ff0cd43b9793eb9517a.jpg
BARRE DE SON SONY HTS500RF,Neuf,Sony,"Plateau, Dakar",239000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f032ef950f077cee0d67b7c87245bb2/-/horizon-files-prod/ed/picture/qgqmmzp0/1e6c73cc4b72af1d2d0e3f0a6c3b664461cff21f.jpg
BARRE DE SON SONY 600W HTS40R,Neuf,Sony,"Plateau, Dakar",189000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94d210a686aeec4b8589abba5ffdd6d8/-/horizon-files-prod/ed/picture/q0gkk5ng/49bb3fd6f05086ca2d876fbaf4d0f76dfb52601d.jpg
BARRE DE SON SONY 400W HTS20R,Neuf,Sony,"Plateau, Dakar",149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/95dbbfe0675e37dca001d47b5c4edf2e/-/horizon-files-prod/ed/picture/q2jkk5kv/1393c87c9e5d7301a684fecaf4998feae9fe95c8.jpg
BARRE DE SON SONY 330W HTS400,Neuf,Sony,"Plateau, Dakar",149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b6ef4ef21fc9a556e2ef8ee1536d1afb/-/horizon-files-prod/ed/picture/qxj88x8q/e9d6a29cd0f669be04a325a724e792d3aeaf4c86.jpg
BARRE DE SON SONY 120W HTS100F,Neuf,Sony,"Plateau, Dakar",69000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/78e347cdd470e970eaf40d445fadb994/-/horizon-files-prod/ed/picture/qng9929x/8093f32a6a99e1a06e692b4875c93009312bb049.jpg
CASQUE SANS FIL ET ÉCOUTEURS SONY WHCH520,Neuf,Sony,"Plateau, Dakar",39000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa0cbeee2cf0b90dcbeb24b3a52a5aba/-/horizon-files-prod/ed/picture/q78jj9wn/200bcd85f6c31c5dfaeff737fd50baa2dc6ddc17.jpg
CASQUE SANS FIL SONY A RÉDUIRE DE BRUIT WH1000XM4,Neuf,Sony,"Plateau, Dakar",149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5d2f9ed12a4a76f6203b6b59b4585d0/-/horizon-files-prod/ed/picture/qq4zzg2n/508da150347ecb1c32cba20d124f40e61331c768.jpg
"Google tv smart astech 50"" 4k full options",Neuf,Astech,"Ouakam, Dakar",220000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f543d3724180c48354718b6f4a95f60/-/horizon-files-prod/ed/picture/q8v4867x/1eab1a1205510f94a98934ac019537a037e03412.jpg
Promo Tabaski téléviseur 43 astech google TV,Neuf,Astech,"Ouakam, Dakar",134900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/530c9f4819a6a455d16d7cb85cc3372e/-/horizon-files-prod/ed/picture/q4455pr2/c3ab12a4fac4345fd25fdd83061769d4d2426689.jpg
Promo Tabaski téléviseur 50 pouces google TV astech,Neuf,Astech,"Ouakam, Dakar",204900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a79656ba48c3bcac82e14c46d6532c87/-/horizon-files-prod/ed/picture/qrzrr76m/bb2b896a368709031005845e73889f024aa60c8e.jpg
Promo Tabaski téléviseur 55 pouce android Google TV,Neuf,Astech,"Ouakam, Dakar",234900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/61c5a5a1808700a77766b54b6e48cf2a/-/horizon-files-prod/ed/picture/qxj88qwm/7c343c185415ad1b451246c583b1ae7bad559c55.jpg
Promo Tabaski téléviseur Astech 65 pouces android Google TV,Neuf,Astech,"Ouakam, Dakar",349900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/667e3218feab7746accd56f67051cf58/-/horizon-files-prod/ed/picture/qm500nvw/23464548fd1dd7c110ebdf33a99653a3cf3996ba.jpg
